sentence,aspect,sentiment
"a very bad service, it is not worth going to unless you are traveling on a short business trip location in a very suspicious area and the service is very bad.",location,negative
normal in a quiet place this pencion is about 2 km from zelamsey in a completely quiet place next to the cable car shemtin need bus number 071 to get to zelamsey the room is normal and relatively small and the balcony is also small,fitness,neutral
the hotel's location is close to all parts of alexandria. the hotel's lobby has excellent wireless internet access.,wifi,positive
the average hotel rating does not exceed 4 stars explicitly. some care rooms need to be renovated. swimming pools are beautiful but without care and no cleaning especially the children's bathroom without care is always not clean.,pool,neutral
service for egyptians is not good from the workers except room service,service,negative
rooms are small but clean. centrally located. the group express train is a five-minute bus ride from the right in front of the hotel. the location is good.,location,neutral
"the room was very far from the restaurant and the different types of services in the hotel and bus we have only seen twice, which is our carrier and bitter and we are fanatics as for the staff is unfriendly swimming pools do not have enough umbrellas.",transportation,neutral
the restaurant has a variety of food.. swimming pools good.. and thanks to all the staff..,food,neutral
the pool is fine but the sea water is cooler! perfect for cooling off after a hot day travel in the city or tourist places!,parking,neutral
"excellent, but its flaws are a beautiful hotel and clean and wonderful views and tranquility, but what bothered me in the hotel is the wi-fi is very very weak and the bathroom does not contain water to wash only napkins means something strange, and the hotel is very far from most tourist places is not nearby on any complex or bank when you go out for the trip needs a full hour to reach in most places and the framework of the most normal prices",transportation,neutral
"but it's an excellent-level restaurant consumer. the -96 set is excellent, but the main problem with this hotel is the adaptation when we arrived. the air temperature was 40 degrees celsius and the room temperature was 27 to 30 degrees celsius.",restaurant,positive
"great food and excellent location.. but as usual the rooms are small like the rest of the hotels ozondul, the rooms are normal and relatively small.. the location of the hotel is great close to the lake and the river..",food,positive
"excellent, but its flaws are a beautiful hotel and clean and wonderful views and tranquility, but what bothered me in the hotel is the wi-fi is very very weak and the bathroom does not contain water to wash only napkins means something strange, and the hotel is very far from most tourist places is not nearby on any complex or bank when you go out for the trip needs a full hour to reach in most places and the framework of the most normal prices",accommodation,neutral
rooms are medium standard (no safe) and bathrooms are bad.,restaurant,neutral
"very central accommodation in gurgaon quality inn hotel is centrally located in the gurgaon area of sector 29 and has very well-furnished rooms, a restaurant serving multiple cuisines, excellent room service, friendly staff, value for money, and very competitive rates for work and accommodation",rooms,positive
i have spent 4 nights in this hotel with my family as the hotel is very modest in terms of facilities and services and breakfast is not worth the value paid,hotel,negative
"an unbearable place to eat ugly drinks disgusting.. the restaurant is not clean and service level three stars.. in addition to the chalets on the sea is rickety and the management is deceptive, where we were settled in non-agreed rooms and changed after the objection to the administration",restaurant,negative
"dark hallways, one towel, a shower like a phone booth, slippery dirty blankets on the couch. stay somewhere else!",bathroom,negative
chalets with arabian/bedouin decorations while the rooms are also well-maintained and comfortable.,rooms,positive
"great hotel at a great price! this was the best hotel we had seen in three weeks in italy. not only was it great and centrally located with a very helpful staff but the room had the amenities travelers needed – a large, very spacious storage space, hanger, light switches, a well-functioning air conditioner, etc. check out the bulletin board in the lobby with guest compliments.",teamwork,positive
"when i got to the room, i was surprised to find used towels in the bathroom and an empty bottle of water next to the coffee maker.",amenities,negative
"the hotel doesn't have internet access because the hotel didn't pay the bill, the pool is too dirty, the reception only has one person, and most of the time it's busy on the phone.",service,negative
"we enjoyed ten days in this beautiful hotel in terms of its excellent location and proximity to the beach and accommodation is pleasant and around restaurants, shops and cafes and in terms of food is very good and cleanliness is good and the rooms are wide and comfortable we hope to visit again thanks to the hotel staff",cleanliness,neutral
service is slow but acceptable.,internet,neutral
the room is clean and the food is good from the room service. the front desk has arranged to hire a chauffeur to take us to the airport at a cost of sar 90 – a 30-minute drive.,room,positive
"the service was good, the food wasn't bad, the beverage service was really good, except for the plastic cups.",service,neutral
"in addition to the staff smoking next to the rooms, it's a very bad service.",service,negative
"good location i was in munich last september and i booked the hotel through booking.com where i stayed for two nights at a high price of 500 euros and the room was good and it has a large window such as a balcony overlooking the square and next to the hotel a shopping center, restaurants and cafes can be downloaded to enjoy it and does not need any means of transport it is very close",food,neutral
". i advise not to take the street view room. disadvantage: the hotel is far from any store. the hotel offers only a small bottle of water per day. i asked the room service for a large bottle of water at the expense of the room, and the bill was 14 riyals, which is 7 times the price outside.",hotel,negative
"when we arrived, i was amazed. i have to say that all our expectations have been met, and even more so, we have enjoyed excellent service and received special attention throughout our time. in the end, i would like to assure everyone not to go on safari with anyone else!!",service,positive
warm reception and excellent service,service,positive
"and the bathrooms are fine for breakfast, nice, nice dinner, and the people at palmyra are very respectable and very helpful.",location,neutral
"good hotel. very close to haram well, very comfortable accommodation in diyar royal! very close to haram.",bathroom,neutral
"experience a resort worthy of a visit i spent more than 1635; days (with my family) splendor, the lobby of the hotel has free wi-fi (internet in the rooms at a fee) suitable rooms, halal food, swimming pool insane and suitable for all ages, a fantasy beach and around it more than the island visit and invite me",accommodation,neutral
"hotel near the markets there is no insulation in the rooms you hear everything without exception cleanliness reasonable inside the rooms furniture is normal best location and price, they provide several forms of children's beds tv is normal with all the channels air conditioning good rooms are spacious but i hope they care about cleanliness more",parking,neutral
"the quality of the hotel has fallen as the plane lands at the landing of jain in ramadan, two blocks in diameter and suhoor, and the hotel is overflowing until we leave the restaurant because of the pressure on it.",restaurant,negative
"all i found in the bathroom is a cockroach and the air conditioning won't work until 12 p.m., and the receptionist isn't fit to be a receptionist.",television,neutral
"medium service hotel i liked very much the site, the quality of service and cleanliness is medium, commensurate with the price, frankly a suitable choice for those with a medium budget to spend a long time without high cost rooms and furniture in need of some renovation some noise due to the night cans and the lack of fence surrounding the hotel and yet spent a beautiful week in the hotel",meals,neutral
"the hotel has recently been renovated so it is clean and has new furniture. although the hotel is not unique, i would advise you to consider it if you are travelling on a short business trip to riyadh.",internet,neutral
"great value for money. in a good area, breakfast was very simple but more than enough to start the day since there is so much to eat outside the hotel. thanks for a warm stay, i would definitely recommend it.",staff,neutral
"the best option for the big family in the village of maria alam the largest and the best place suitable for large families, where it offers two, three and four rooms service and the hotel is very luxurious and good treatment. the spa is available and the hotel view is abnormal and is located on the first street of the village and under it is an austrian traditional women's clothing store at a cheap price and i recommend housing there and only defective that parking behind the hotel, means cutting the river and then returning to the hotel",treatment,positive
the worst hotel and the worst service compared to the price.,hotel,negative
beautiful hotel i spent three nights there and the hotel was a good place for it to be close to the train station and most of the famous landmarks in florence is close to many different shopping shops the team was good in its dealings and we benefited from their guidance in terms of touring the city,teamwork,neutral
"the rooms and the entrance of the hotel have been renovated and safety boxes have been placed in each room, but the v,c hotel remains unfit for family accommodation due to its location close to bars and bars.",hotel,negative
"the shampoo that you meet in the room is the one that you walk around and it's there and the bathroom that's in and the buffet needs to be wiped and the soap and the dishes and the cups are wet, but you don't wash and you don't supply the workers.",room,negative
"walking your feet towards chinatown and the mass transit area where you are surrounded by amazing restaurants. i have enjoyed my trip here, and i will definitely recommend it to those looking for a nice, comfortable place at a reasonable price.",prices,neutral
"food is clean but limited and average quality the hotel is attached to the mall and has all the shops, restaurants and pharmacy the hotel is attached to a market with excellent prices and cheaper than cairo the swimming pool is clean",views,neutral
"the rooms are clean and modern, and have a beautiful reception area.",reception,positive
"this hotel was great from the start: the owner was easy to deal with and contact, the staff was great, the food was simply incredible, and the tour they organised (including a night under the moon in the desert) is unforgettable.",food,positive
the rooms are spacious and comfortable especially the towers and the clean is very good and the quiet inside the rooms and the food is great with more than a restaurant and excellent service.,rooms,positive
"a beautiful and fun place to spend a real vacation the place is very beautiful and its staff spare no effort in serving and assisting guests, and the presence of children's games and dj shows for children is very beautiful",place,positive
excellent cleanliness and excellent handling and the pool is large and overlooking the sea as there are balcony in the rooms overlooking the garden or the sea as well as the sports room overlooking the sea and the price is very appropriate.,fitness,positive
the hotel has beautiful landscapes and very beautiful rooms but the service is very bad and the workers are very rude and the meals are aimed at poverty and lack of diversity eating,service,negative
"a nice hotel we have stayed three nights recently. the rooms, decoration, preparations are excellent. the japanese restaurant is good and offers a 30% discount on food and drinks before 7:00 pm.",internet,neutral
the staff is very friendly and caters to everything one needs - excellent food - delicious cocktails - great location - a traditional bali style family around the pool is very comfortable - there was not much entertainment but the hotel is just a few stops away from downtown cancun. we will be back.,food,positive
mismanagement.,management,negative
"this is a very good choice in the safaga area. very nice and most of its guests are divers and its management is good and its price is favorable and the offer is quality, restaurant and bar are warm.",tourism,positive
"comfort and luxury pleasure honestly from the finest doha hotels at all in terms of comfort and cleanliness and guest service and good furniture and strategic place and at a great price, i recommend it and thank ms. raneem for her manners and great dealings, which did not fall short with us in extending our stay to the time of the afternoon and also thank all the staff for the spaciousness of their chest",bathroom,neutral
"beware impossible! the owner is a crook! when you are in marzouka, he tells you that the trip to the desert is cheap (250 dirhams per person). he takes you to a hotel (about 25 km from the desert), then tells you that the price is 2500 dirhams per person). he shouts at tourists, tries to blackmail them...",position,negative
its prices are fine in the middle.,food,neutral
accommodation includes breakfast that you might consider good or bad at your discretion for egyptian cuisine.,bathroom,neutral
"and the service in the courtyard is very good, and the single rooms are also very beautiful, and the bathroom is completely glassy, but not transparent, i strongly recommend it.",beach,neutral
"i didn't see any flaws, just a lack of interest in oriental food at the breakfast buffet.",transportation,neutral
"a good hotel, but a good resort in terms of space and services, but it lacks a lot of joy, it becomes a very boring resort that does not have any kind of entertainment or entertainment at night becomes a semi-empty city of life, meals are not bad and not good with all this luxury lacks many things so my car is not allowed to enter the resort and leave it outside the resort and this is what excites the car",wifi,neutral
the hotel is beautiful and elegant and the staff are friendly and servants,hotel,positive
"and yet there's no coffee in it, no omelet, no three-star tea, no breakfast, no magic on you, shaza hotel.",amenities,negative
"walking your feet towards chinatown and the mass transit area where you are surrounded by amazing restaurants. i have enjoyed my trip here, and i will definitely recommend it to those looking for a nice, comfortable place at a reasonable price.",internet,neutral
"wrong idea to go to one of the worst hotels i've ever done, everything from the level of service to eating and drinking to the extreme congestion inside the hotel.",eating,negative
"and breakfast is wonderful and varied, east and west.",meals,positive
i almost got fit. i stayed in a hotel for four nights while there was an event in karan. the suite i stayed in had a large empty space and was comfortable.,facilities,positive
"the hotel staff is very racist there, very racist in the behavior of the hotel staff. market environment.",staff,negative
"the hotel was great in terms of design and decoration, the main swimming pool is reasonable and does a nice show tonight, the room is clean and no insects: d but unfortunately the food is good enough for most hotels, but dinner and as the main meal was bad in terms of diversity and quality and sweets are seriously in need of chef for sweets and mush and earls and not in the respetion and rooms",food,negative
"i spent two wonderful weeks at rihanna sharm resort. it is a beautiful hotel located in the middle of a vast territory, a spacious and well-furnished room. outside there are several green and tidy swimming pools. many attractions, nice staff, the best movement team in the world. and especially amr. i love listening to his statements... irreplaceable.",reception,neutral
our legs broke the resort sweet for foreigners or grooms who like to know a lot but not so much because its location is far from the walkway and the stairs in it a lot of times and in non-lifters at the end of the resort,reception,neutral
comfortable and very friendly staff except the room service worker was annoying and the swimming pools are clean and look great and the eating is beautiful and the location of the hotel is sweet and close to naama bay. i advise anyone who wants to enjoy sharm he is booking there... thank you,meals,neutral
very good hotel. the staff was excellent. i stayed one night doing everything was great. the rooms are well sized and well equipped. the pool and gym are great. a rather unfocused location of the road but convenient to dubai airport and a short distance downtown.,meals,neutral
"a hotel that lacks cleanliness, especially the bathroom.",hotel,negative
we will not stay there again even if the rooms are free. it is undoubtedly the worst service we have tried in turkey.,service,negative
ugly very dirty room and you will see it in the pictures. my rating for this hotel is 1* and i am already generous in this rating.,hotel,negative
great hotel i was visiting the hotel late last year.....great memories.....reception is good.....the rooms are very clean.....,restaurant,neutral
"the hotel offers excellent services in any area, whether it is hospitality, facilities, food, luxury and everything.",food,positive
"i would like to thank the management of the hotel, especially mr. khalid habab, general manager for the hospitality he gave us during our stay. the hotel group enjoyed the touch of mvenpick and the saudi hospitality. thank you very much, everything was great.",hotel,positive
the hotel is so beautiful i asked them for a car to take me from the airport and it was done at the same time and the driver had to create,hotel,positive
"honeymoon hotel is a wonderful hotel and a beautiful location in the area of hadia in the center of the market complex everything is beautiful until the reception was cooperative with us a quarter of an hour away from the venice of the sea by car and behind the hotel directly there is a train station that goes to venice of the sea and there is in the hotel a service delivery from the hotel to the airport offensia of the sea or vice versa five euros for someone, god willing, if god wrote to omar and i went there will not live there.",service,positive
"my experience with the shop, the hotel is so bad, it's so small it can't fit two people, the bathroom is so bad.",hotel,negative
"clean, breakfast is fine, but the rooms are too small.",meals,neutral
"great place, nice place, great service, really, i'm comfortable in the place, and it's clean and big, and everything's beautiful, and it's excellent, and it's close to many places, and besides, the food was delicious.",service,positive
"the neighborhood was full of sexual intercourse lens displays, not a good place for a couple.",residence,negative
"we really felt safe and welcome there, and frankly i couldn’t find a better place to stay.",residence,positive
"excellent hotel and staff. good value for money. centrally, you can go anywhere on foot. very clean towels and beds.",parking,neutral
"i found my comfort a good hotel comfortable rooms warm and good and distinctive having a kitchen you can prepare your food and coffee machine and everything you need to do food next to a large supermarket and grocery store that watches late hours and a group of restaurants, including halal restaurants and the metro station is 5 minutes away and the bus is 5 minutes also i love this place",hotel,neutral
"cheap hotel, you get what you pay for. acceptable and cooperative service. poor standard.",location,neutral
good enough but not great team work - nice. the room - is fine but not up to three stars.,views,neutral
very good experience it is actually a good hotel for accommodation. the staff is courteous and the service is good. it also has a good wi-fi connection. the hotel is in the corniche area and next to the beach mall.,hotel,positive
the rooms are relatively better but the bathrooms aren't good! hotel management has to spend some money on their bathrooms and make them good.,rooms,positive
great place. i've only been home for a week. all the staff are very hospitable if you smile a little.,place,positive
the hotel is on the second floor and many stairs are required to reach it as there is no elevator.,staff,neutral
an incredibly good value for money i recently stayed here and the staff was very cheerful and helpful and the manager spoke english very well and was very helpful.,receptionists,neutral
"the internet is fast, the room service is fast, there are plenty of restaurants near the hotel, the dubai metro station is within walking distance of the hotel, all the staff of the hotel seek to satisfy the guest",internet,positive
"and the air conditioner doesn't work (thankfully we were in the fall, so the window could have opened). it's worth staying in it for the off-peak season. breakfast and parking are fine.",location,neutral
"the room consists of a simple kitchen, a bathroom, a bed, a tv library, a business clearance desk and a relaxing sofa. it also features a mastery of interior design in terms of color consistency. the hotel is very good",amenities,positive
"a tourist trip after my personal experience, and find this hotel from the best neighboring hotels in the city of makati, and i have listed this hotel among the best hotels i have visited and will visit in the future in my next trips to the philippines, and advise you to stay and enjoy this hotel",hotel,positive
the food corresponded to all tastes as the drinks were good. the staff was friendly and the room was very clean. the safe of deposit is located to the left of the reception.,food,positive
hotel cardenia it is a good hotel and its services are good and its staff are loyal to their work and high morals and the hotel's monastery is a gentleman... the hotel is quiet and delicious and has a comfortable gymnasium has been very comfortable with a room on my own and this hotel will be the hotel where i always stay,meals,neutral
"after we took a full tour of the ocean we called the show and booked tickets directly at a much lower price. also, the roof of the building was closed and some improvements to the facilities were closed.",facilities,negative
and also its prices are economical and in the place of everyone..and also has a great advantage that it is close to shopping places and also enjoys a beautiful beach in the bay of yesma,cleanliness,neutral
"great hotel in short, the hotel is great and i recommend it in the following respects: excellent location for pedestrians and the seaside its own beach is clean and wonderful services in the hotel are great",location,positive
the air conditioning made a very annoying noise. the curtains didn't block the light.,conditioning,negative
"the staff were very kind, but i wouldn't advise any female to stay there for security reasons.",staff,positive
beautiful rooms with modern and clean furniture,furniture,positive
"a good place at a good price this hotel was the best offer we found in our 4-week stay in different parts of egypt. yasir al-dheeb is a friendly collaborator and arranged for us good trips (blue hole, mount sinai) at very affordable prices, we did not have to discuss the prices for a long time. he also managed to bring cereals for breakfast at our request:) thank you!",location,neutral
"important note: some of the employees have a very bad way of talking and they are in the lights, the place is not working, the air conditioning in the reception i'm dropping pictures of insects on elvis and on the site soon and my personal phone number and god, my people from flights to one i'll see them unfortunately hotel below the level 01149065390",conditioning,negative
"the accommodation was acceptable, the location was good, and there was a room for the children's entertainment, but the beds were uncomfortable, and the kitchen windows were out of control.",amenities,neutral
"excellent stay i stayed in this wonderful hotel 4 nights was great, the hotel is very clean and the colors are beautiful,",hotel,positive
we played tennis and squash and used the gym and the jacuzzi.,fitness,positive
we were disabled for over an hour in reception due to poor reception and randomly switched from receiving m2 to receiving m4 and then switched to m2 again.,reception,negative
a good hotel. the hotel is clean and the staff is excellent. the location is right next to the city - it's good. the things that were not satisfactory are the food and cards that are used as keys.,hotel,neutral
"the rooms have lots and lots of ants. the location is good, the staff is doing just fine, the beach is good.",location,neutral
excellent hotel in view excellent hotel in direct view of the sea i remember when i was late for lunch and the hotel service sent food to the door of the room,amenities,neutral
"there won’t be a next time. we just got back from a new york vacation to schramm, and our hotel stay was really bad. first, the fridge didn’t work and we changed it twice until the problem was solved (the same thing happened with our friends but they couldn’t get a fridge and stayed without a fridge). no room service! we got our special glasses from the reception. breakfast was just fine, and i found an ant in the sauce during my lunch!",conditioning,negative
"a very dirty and noisy hotel, the location is good, as it is a 15-minute walk to the old city. however, the place is very noisy, as it is located right next to the construction site. the noise starts from 07.00 am to 20.00 pm.",transportation,positive
the swimming pool is in dire need of daily cleaning and if you were travelling with children i would complain if it was too hot and we couldn’t swim in such a dirty pool. air conditioning and mini fridge work well. we will come back again but call in advance and make sure the pool is cleaned.....,parking,neutral
"rooms : brushes are not clean, furniture is broken, mattresses are ruined, glass and balconies and bathrooms are dirty",tourism,negative
"this is the worst hotel i've ever done. i've booked two nights, but i've only been able to stay one night.",hotel,negative
"hotel, old furniture and bad service in every sense of the word.",hotel,negative
the hotel is in a very bad and smelly area and the beach is far from the hotel.,facilities,negative
the food is grotesque and the pool is small.,food,negative
a mediocre breakfast.,meals,negative
"not very good, but medium or less, the reception was not good, and the worst thing was terrible food, it was very bad, and the treatment of the staff was not good, and many problems occurred. although the entertainment team was the best in the hotel, the cleanliness of the room was not good.",employees,negative
dining options within the hotel are limited and the restaurant is very expensive compared to the meal.,restaurant,negative
"we enjoyed the hospitality, the friendliness, and the great food – we didn’t want to go back to cairo! we felt like we had to stay here permanently...it was amazing!",accommodation,positive
the rooms are well furnished. the kitchen space is very good.,accommodation,neutral
"the beach view is an added advantage, the facilities are clean without complaints, and the restaurants are very nice, especially the olio restaurant, which makes italian pizza in an oven with wood fuel.",staff,neutral
"we have chosen sultan gardens on the recommendation of some relatives who have visited the hotel more than once, and we have found what we expected. the hotel has outstanding gardens in line with its name, pleasant and friendly staff, excellent hygiene level, multiple ponds, comfortable and spacious rooms and family-friendly, entertaining entertainment programs. i recommend who is looking for a hotel of his choice and will not regret",residence,positive
this might be understandable if the hotel is cheap but it’s actually very expensive aed 1002! the coo didn’t even come forward with a simple apology or regret. it’s really a hideous hotel!,hotel,negative
"the hotel level is lower than before in terms of the care and cleanliness of the rooms. when we arrived, the room was not clean.",rooms,negative
you will not get bored.i spent a whole week with the family there and enjoyed a lot. the price is good and the cleanliness is good...,prices,neutral
thanks and appreciation to each of you for the good treatment and reward god for your work the best reward and worker and this is the third time we stay in the hotel,treatment,positive
the room was large and included a sitting room with two sofas and an extra plasma tv. there are few uk channels.,television,positive
"the food is very simple for the price in the restaurant, and it is much better to go to the heron hotel to eat, which is a short distance away.",restaurant,negative
"they advertised the parking lot, and it was three cars on top of each other for 10 a night. they insisted on moving our car and one of the guests saw them scratching our car against the wall, which the staff denied.",parking,negative
"i've been in the lobby for half an hour, and there's no one at reception.",reception,negative
the rooms are equipped with all the basic supplies.,rooms,positive
the hotel is quiet.. the workers are very friendly.. if your visit to alexandria requires only a clean and tidy place to sleep..,employees,positive
"but room service was below expectations, and the furniture in the rooms is dreary and old.",hotelservices,negative
"and the service in the courtyard is very good, and the single rooms are also very beautiful, and the bathroom is completely glassy, but not transparent, i strongly recommend it.",staff,neutral
"this hotel has to be closed. this hotel has to be a disaster. the rooms are dirty and the place is full of cockroaches. in my room, the bathroom ejection box is not working and the toilet is so dirty. i can't have breakfast in this place where the kitchen is so dirty.",rooms,negative
"tv's not working, sanitation's not clean in the room.",fitness,negative
"charming hotel location! very close to the beach, restaurants and important places, as well as enjoying the tranquility. old mexican-style dcor with all the brazilian features.",hotel,positive
it smells like you're walking into a people's dorm for a month.,facilities,negative
"as well as very very breakfast, the pool space is clean and distinctive, there is a swimming pool for children.",meals,neutral
"another 16 families were sent to the paphos gardens hotel. the actors were desperate and the front desk didn’t know anything, and we’ve had two different excuses since we got home. any ideas please.",reception,negative
"i stayed three nights in december three years ago, and the hotel had only one breakfast restaurant, and the price was very high for the double room and breakfast buffet as well.",buffet,negative
"cheap hotel, you get what you pay for. acceptable and cooperative service. poor standard.",internet,neutral
"nice hotel and team animation one family service in the hotel is reasonable, and the full number of rooms in the period of the best needs that exist here, the team called animation and in two young people named karim and assam of the team that they work more than shaw hill, whether on the swimming pool or at night in sufficient show animation contributed to the fact that people in a hotel all know each other and feel that it is a family unit",location,neutral
"a new hotel is not fully ready (no credit card payments, only cash), and there is limited parking available.",room,neutral
poor management treats guests negatively and returns it to the hotel owner who has not given them the authority to be flexible with guests.,management,negative
but there is some regret that there was no slipper and bathrobe in the room. it is strange for a 4-star hotel.,amenities,negative
"perfect service, professional, friendly, quick, gentle, and sometimes even smiling. an old room and a pretty crowded interior, but the bed is good.",transportation,neutral
walk through the tunnel and wander towards the shopping area and christmas markets. excellent location for its price.,location,positive
"it's a two-star hotel, beds are small, bathrooms don't have a bathtub, water's cold or just a little hot water.",accommodation,neutral
"and yet there's no coffee in it, no omelet, no three-star tea, no breakfast, no magic on you, shaza hotel.",facilities,negative
the front desk staff was snobby. breakfast is not included in the high hotel rate.,prices,negative
but the carpets are consumed and the plant is dirty and the bed is uncomfortable!,tourism,negative
"the forms were in the elevators to get to the hotel, and the sound insulation between the rooms was poor.",rooms,negative
what this dreary stay certainly proved by this self-serving apartment. they claimed to offer luxury but it did not happen.,facilities,negative
"i liked the quick service and the elevators, which are not too late, and there are also elevators that go down to the reception where you go to the campus from inside the mall without the need to use another elevator.",transportation,positive
"i would recommend going down to this hotel group a little bit from the inside of some hotels, but i didn't notice it, and the high service was for me.",service,positive
"the accommodation was acceptable, the location was good, and there was a room for the children's entertainment, but the beds were uncomfortable, and the kitchen windows were out of control.",location,neutral
"of course the picture. other than the fact that there is no swimming pool and you do not ask them for maintenance, but for breakfast and god forbid you pay one dirham in breakfast loser loser loser loser",pool,negative
the rooms are very bad.,rooms,negative
crowne plaza hotel dubai is suitable for a short business trip. it is a bit old but its services are good for the money and the choice of food in the hotel is great.,location,neutral
this hotel is very good for many hotels in alexandria... through my visits to many hotels in alexandria i do not find a good level of cleanliness.. this hotel is clean bathroom is also clean.. its location is excellent it is located in the heart of green plaza mall,hotel,positive
"i was very surprised this was my first visit to egypt so i didn’t know what to expect. the hotel staff were very friendly, the food wasn’t bad, especially lunch.",reception,neutral
"wonderful in all respects an excellent hotel from the site and existing services and staff welcome the visitor in a beautiful style and the hotel facilities are beautiful in terms of beaches, swimming pool, cafes and restaurants that feature delicious dishes and i will repeat my visit to the hotel again with my friends and children",hotelservices,positive
the restaurant has a variety of food.. swimming pools good.. and thanks to all the staff..,pool,neutral
question place no beds for kids_response to service zero_no mattresses for bathrooms_bad service levels_no water for coffee _slow service beach water dirty no walks in the bathroom please check before visiting. restaurant not good no services,facilities,negative
this small hotel with a prime location in dakhla was welcoming and welcoming. the hotel has both accommodation systems..,reception,neutral
"the window was all stained with red paint, and beneath it was a tunnel more like a dirty, grumpy corridor.",facilities,negative
"and its accessories are never good, you find the lights are not all working, the towels and towels are very old and some are cut and the smell is not good...",facilities,negative
the beach is great and the swimming pool is great and all the staff have been telling you that you are the most important guest in al fang. especially the front office managers mr. ahmed abaza and mr. mahmoud salem and all the front office staff who were solving any problem in the shortest time.,pool,positive
"we had a great time, and there are plenty of things to do. the beach is a few yards from the hotel with a water park. the entertainment team makes the holiday, they make your stay fun and entertaining through entertainment, and i’ll go there again. the hotel has quad bikes and that’s what my son enjoyed so much.",hotel,positive
rooms are suites and not standard rooms like the rest of the hotels. (two rooms separated by a door),views,neutral
hot water is not available in the shower and the room is very cold at night dirty bed sheets prefer to book anywhere else away from this hotel in addition to the hotel is a bad place!,room,negative
"and the service in the courtyard is very good, and the single rooms are also very beautiful, and the bathroom is completely glassy, but not transparent, i strongly recommend it.",fitness,neutral
the only problem is that most of the ingredients in breakfast contain pork.,meals,negative
a good place with poor facilities.,fitness,negative
the place was great. the place was great. excellent service. great view.,location,positive
"the worst meal break was bad, except for breakfast. the room was really bad.",parking,neutral
i have visited milan many times for work and this time i was injured when i listened to a friend of mine advised me to stay in a hostel and in my last stay after visiting the furniture exhibition and when i arrived and after a good reception my pleasure in a higher class room at a normal price,prices,negative
"not even worth passing by has uncooperative reception,",reception,negative
"i've stayed at this hotel for the fourth time, and every time i like the hotel, it's my second home, and i'm gonna keep visiting it.",hotel,positive
at check-in i asked for a room with sea views but the receptionist did not show interest and assigned me a room on the first floor with a view of a construction site.,reception,negative
"the coolest place to relax and eat, you need to walk ten minutes up from ella until you get to this fantastic place. choose the deluxe room to enjoy a stunning view and a fantastic atmosphere. you are in the spacious, clean room where the beautiful space between ella rock and adam's little peak is delicious. the service is very good and i have no negative reviews at all.",room,positive
"bad visit, the worst village in hurghada, we were blocked for four nights, we walked a day along the food very bad, and also the dates of tomorrow away from dinner and sanaks, no pizza and murdoch, they go to breakfast and if i have dinner in an intervention restaurant, a second restaurant, i do not recommend anyone to visit",food,negative
"the rooms are very nice and clean and that's very important to us, the food was actually very good, something new every day, and it's very important to us.",facilities,neutral
the music is very loud from 11 p.m. until after 3 a.m.,amenities,negative
"suitable for those with a limited budget * if you want a hotel directly on the ocean and a wonderful view and picturesque and at a small cost regardless of anything else, this hotel is the best",prices,positive
"the entertainment team doesn't care about the kids/inmates they're dealing with, they work for their own pleasure, they leave our kids alone.",team,negative
"the most beautiful and wonderful hotel in ayia napa, honestly it deserves four stars, the location is excellent, the swimming pools are very, very beautiful, the staff is very nice and everything i liked, but except for the usual food, lunch is the top of the shit and dinner is you and your luck if you like something",rooms,neutral
i didn’t like the service and the location for the price.,prices,negative
the so-called evening buffet was nothing but hot food left outside to cool.,buffet,negative
but the problem is that the internet in the rooms on the upper floors is weak.,internet,negative
"never eat at this hotel, stay at restaurants!! a meal that includes medium-sized pizza, four cans of diet soda, a plate of pastries and a bottle of water for up to $110 – that’s 84. there are better and less expensive places near the hotel.",food,negative
"even the rooms are in bad shape, the fridge is broken, the floor is flooded, i don't recommend going to this village at all.",rooms,negative
reception is great. rooms are perfect. size is clean. service is fast.,food,neutral
"i stayed at the hotel several times, and i liked the consistency and continuity of the service and the continuous high quality of staff and employees alike.",employees,positive
and the rompus bar at night doesn't have as many kids as years ago and the situation here is generally very satisfying.,facilities,positive
"amazing in everything i really enjoyed staying in this hotel with my wife. the location is great if you like to see the pyramids. the building is very nice inside and out, and the rooms are large, spacious and clean. the bathroom also looked new and well equipped with the required things. we didn’t lack anything.",rooms,positive
"plus bunk beds, no chairs or tables,",stay,negative
"average nice hotel. very comfortable central location, average room cost, very good restaurant. i mean a bar, good maintenance, very friendly and helpful staff. i must thank melanie vethrea at aston coningan suites for giving me the best hospitality and the way she manages everything during my stay. i had to admire her professionalism. my thanks are very humble to her. i would like to express my gratitude to her.",restaurant,positive
a great price to start the adventures of dambulla calm and nice treatment hotel or sanctuary or shelter.. the important thing is that it is a beautiful place and a nicer price for lovers of launching and adventures and discovery... where it provides you a good sleep at a very affordable price...,prices,positive
"petra gate inn offers everything i want - it's comfortable, nice and very affordable. if i go back to petra again (and what i've seen will definitely make me come back), i won't even think about staying at any other hostel: -d tom bissler, prague",prices,positive
the service is excellent and the rooms are clean and comfortable and the food is excellent.,food,positive
and the safe in the room was broken.,facilities,negative
"hotel near the markets there is no insulation in the rooms you hear everything without exception cleanliness reasonable inside the rooms furniture is normal best location and price, they provide several forms of children's beds tv is normal with all the channels air conditioning good rooms are spacious but i hope they care about cleanliness more",rooms,negative
"the receptionists have never dealt with a human before. i wouldn't recommend it to anyone, even if there was no one else.",receptionists,negative
